Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,100,0.6,0.0,50.0,100,537,214,25,5332.496094,0.004688
2,100,0.6,0.0,50.0,100,480,182,28,4682.883789,0.005979
3,100,0.6,0.0,50.0,100,517,212,33,5076.561523,0.006500
4,100,0.6,0.0,50.0,100,515,198,40,4981.041992,0.008030
5,100,0.6,0.0,50.0,100,529,213,29,5193.292480,0.005584
6,100,0.6,0.0,50.0,100,480,194,37,4947.144043,0.007479
7,100,0.6,0.0,50.0,100,543,216,45,5262.916016,0.008550
8,100,0.6,0.0,50.0,100,465,181,25,4677.933105,0.005344
9,100,0.6,0.0,50.0,100,500,194,24,4930.005859,0.004868
10,100,0.6,0.0,50.0,100,524,197,33,5163.528809,0.006391
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,100,0.6,0.0,50.0,100,930,389,58,5169.746582,0.011219
2,100,0.6,0.0,50.0,100,1023,421,56,5362.883789,0.010442
3,100,0.6,0.0,50.0,100,956,387,66,5152.805664,0.012809
4,100,0.6,0.0,50.0,100,953,377,60,4996.248047,0.012009
5,100,0.6,0.0,50.0,100,903,364,50,4781.134277,0.010458
6,100,0.6,0.0,50.0,100,949,384,60,5132.950195,0.011689
7,100,0.6,0.0,50.0,100,843,305,51,4641.528320,0.010988
8,100,0.6,0.0,50.0,100,842,316,40,4705.959961,0.008500
9,100,0.6,0.0,50.0,100,959,367,50,5223.547852,0.009572
10,100,0.6,0.0,50.0,100,916,374,52,4929.624023,0.010548
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,100,0.2,0.0,50.0,100,204,163,99,4451.729492,0.022239
2,100,0.2,0.0,50.0,100,222,167,99,5056.943359,0.019577
3,100,0.2,0.0,50.0,100,238,183,99,5135.138184,0.019279
4,100,0.2,0.0,50.0,100,214,174,99,4907.444824,0.020173
5,100,0.2,0.0,50.0,100,252,191,99,4708.302734,0.021027
6,100,0.2,0.0,50.0,100,258,202,99,4896.020020,0.020221
7,100,0.2,0.0,50.0,100,226,184,98,5153.421875,0.019016
8,100,0.2,0.0,50.0,100,218,179,99,4952.335449,0.019991
9,100,0.2,0.0,50.0,100,265,211,99,4947.309570,0.020011
10,100,0.2,0.0,50.0,100,195,153,99,5079.909668,0.019489
